drug,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,main_cluster,max_membership,membership_entropy,cluster_num,cluster,membership_score,display_label,target,pathway,research_area
Pranlukast (hemihydrate),0.0004968133227945011,0.4908929827321326,0.0003651041562331866,0.0011794251021149818,0.04207659462443011,0.01863766694555841,0.00018265106798715677,0.4351506070439801,0.0002888357476105869,0.010729319257158247,cluster_2,0.4908929827321326,0.986096062397663,2,Cluster_2,0.4908929827321326,Pranlukast (hemihydrate),Endogenous Metabolite; Leukotriene Receptor,GPCR/G Protein; Metabolic Enzyme/Protease,Inflammation/Immunology
Prednisolone Tebutate,0.0008766399499093368,0.7271572773839712,0.0006859413452928412,0.002409768679234025,0.029292784630368832,0.10285950527857116,0.0003550731821443892,0.11922984059169685,0.0005709394513856538,0.016562229507425724,cluster_2,0.7271572773839712,0.9233006216902129,2,Cluster_2,0.7271572773839712,Prednisolone Tebutate,Glucocorticoid Receptor,Immunology/Inflammation; Vitamin D Related/Nuclear Receptor,Inflammation/Immunology; Endocrinology
Prednisone acetate,0.000661957895119739,0.052745372627482676,0.0005305961792727157,0.0018740107571539586,0.008774690490827727,0.905066629155624,0.000287370806544776,0.02047187708031747,0.00047259820281100526,0.009114896804845896,cluster_6,0.905066629155624,0.43603203187050227,6,Cluster_6,0.905066629155624,Prednisone acetate,Glucocorticoid Receptor,Immunology/Inflammation; Vitamin D Related/Nuclear Receptor,Inflammation/Immunology; Endocrinology; Cancer
Procyclidine (hydrochloride),0.02813582339054378,0.1283600439313816,0.022124816570137155,0.22909621636391994,0.0968678663627855,0.12418587691562871,0.020042202428059944,0.13009772958140625,0.03596048463084451,0.18512893982529266,cluster_4,0.22909621636391994,2.046605003580139,4,Cluster_4,0.22909621636391994,Procyclidine (hydrochloride),iGluR; mAChR,GPCR/G Protein; Membrane Transporter/Ion Channel; Neuronal Signaling,Neurological Disease
Prucalopride,0.00025464954404154,0.008376777669788425,0.00017323737561685,0.00045207671538417636,0.9505787715902224,0.0026254359778057393,8.426248039172121e-05,0.0330789199394546,0.00012531244663456384,0.0042505562606597,cluster_5,0.9505787715902224,0.24881956808386183,5,Cluster_5,0.9505787715902224,Prucalopride,5-HT Receptor,GPCR/G Protein; Neuronal Signaling,Neurological Disease; Cancer
Remdesivir,0.7633409383797146,0.023026707075400388,0.04883467031631031,0.015149745346309548,0.02532317673434498,0.021026309526487777,0.01600620435818472,0.025751162494316204,0.018072219728380787,0.04346886604055055,cluster_1,0.7633409383797146,1.0474391013224316,1,Cluster_1,0.7633409383797146,Remdesivir,DNA/RNA Synthesis; SARS-CoV,Anti-infection; Cell Cycle/DNA Damage,Infection
Rilpivirine,0.8115999922657289,0.009315256980082728,0.06574739452443144,0.01092253219988187,0.009640143985400638,0.008912246206227006,0.03142890379862419,0.010032886229232848,0.02557159740371753,0.016829046406672744,cluster_1,0.8115999922657289,0.8454999575751649,1,Cluster_1,0.8115999922657289,Rilpivirine,HIV; Reverse Transcriptase,Anti-infection,Infection
Saquinavir (mesylate),0.036739588738422556,0.012368959212365818,0.06472168900232039,0.042825634024199484,0.010760161990069763,0.014167531008930923,0.1480609627214781,0.012323368674469683,0.6358757368737707,0.022156367753972627,cluster_9,0.6358757368737707,1.3061951772392044,9,Cluster_9,0.6358757368737707,Saquinavir (mesylate),Autophagy; HIV; HIV Protease,Anti-infection; Autophagy; Metabolic Enzyme/Protease,Infection; Cancer
Savolitinib,0.003583143145248654,0.18420895375425766,0.0027444515366473097,0.008245293946730152,0.2893106633852816,0.05588162163859837,0.0013988802804596966,0.4054871029120409,0.002127905558226435,0.047011983842509306,cluster_8,0.4054871029120409,1.4395989442857953,8,Cluster_8,0.4054871029120409,Savolitinib,c-Met/HGFR,Protein Tyrosine Kinase/RTK,Cancer
Simotinib,6.267706705199678e-05,0.0022358963154635878,4.3324588144210445e-05,0.00011640244209772586,0.9861271595818537,0.0006804437109418982,2.1361458909959815e-05,0.009664236845609908,3.178671226443129e-05,0.0010167112776624373,cluster_5,0.9861271595818537,0.08688144419646379,5,Cluster_5,0.9861271595818537,Simotinib,EGFR,JAK/STAT Signaling; Protein Tyrosine Kinase/RTK,Cancer
Simvastatin acid (ammonium),0.05999194919862629,0.020798995666348852,0.5723681143347673,0.044230281722481245,0.02008976330928969,0.020720450942512788,0.09830508225582749,0.02146371260956594,0.10623960427792442,0.035792045682656,cluster_3,0.5723681143347673,1.5333307009555617,3,Cluster_3,0.5723681143347673,Simvastatin acid (ammonium),HMG-CoA Reductase (HMGCR); Reactive Oxygen Species,Immunology/Inflammation; Metabolic Enzyme/Protease; NF-ÎºB,Inflammation/Immunology; Cardiovascular Disease
Stiripentol,0.005061124916236683,0.11263048448317303,0.004386047056707609,0.014964472598907569,0.03520537417413096,0.7108136446664314,0.0025253748021732293,0.06389057301084153,0.004203086234925053,0.04631981805647274,cluster_6,0.7108136446664314,1.0759869230505186,6,Cluster_6,0.7108136446664314,Stiripentol,Cytochrome P450,Metabolic Enzyme/Protease,Neurological Disease
